## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.custom1,entity.custom2,entity.custom3,entity.custom4,entity.custom5,entity.custom6,entity.custom7,entity.custom8,entity.custom9,entity.custom10,...
1,Samsung S1,1,Latest ,,50000,,Mobile,,,,,,,,,,,,
2,Moto G2,1,Latest ,,12000,,Mobile,,,,,,,,,,,,
3,Iphone 15,1,Latest ,,30000,,Mobile,,,,,,,,,,,,
4,Samsung f23,1,Latest ,,40000,,Mobile,,,,,,,,,,,,
5,Redmi Note 12,1,Latest ,,25000,,Mobile,,,,,,,,,,,,
6,Oneplus nord,1,Latest ,,35000,,Mobile,,,,,,,,,,,,
7,Realme,1,Latest ,,10000,,Mobile,,,,,,,,,,,,
8,Redmi 7,1,Latest ,,32000,,Mobile,,,,,,,,,,,,
9,Samsung Tv,2,Latest ,,22000,,TV,,,,,,,,,,,,
10,LG Tv,2,Latest ,,19000,,TV,,,,,,,,,,,,
